dataset,model,causal_discovery,shapley_method,importance_ratio_true,mean_shap_true_parents,mean_shap_non_parents,true_parents_in_top5,total_true_parents,importance_ratio_discovered,mean_shap_discovered,discovered_parents_in_top5,total_discovered_parents,true_parent_features,discovered_parent_features,true_parent_recall,dataset_type
mixed_no_conf_f10_s500_p50,LGBM,PC,Asymmetric,11.700674693138396,0.8903245441657355,0.07609172697432967,5,5,0.8390883267250615,0.4120852384606558,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,PC,Causal,12.359446629120189,0.8729744434328832,0.0706321625578334,5,5,0.7654157411821864,0.3698006151765521,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,PC,Flow,4.079196331932916,1.1154010871656006,0.27343648022870987,4,5,0.0,0.0,0,1,"[0, 3, 5, 7, 9]",[3],0.8,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,LINGAM,Scratch,13.605615841344346,0.8811897114877156,0.064766617091303,5,5,0.8335026595318599,0.40780835928409864,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,LINGAM,Asymmetric,12.62315015189451,0.8797846648692451,0.06969612610820486,5,5,0.8281836022119423,0.40716369057635865,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,LINGAM,Causal,12.14313384880969,0.8839351481485437,0.072793000485224,5,5,0.8404741741472759,0.4153029598324805,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,LGBM,LINGAM,Flow,999.0,0.4072485214392813,0.0,3,5,30.301171742414695,0.8993940121524411,2,2,"[0, 3, 5, 7, 9]","[3, 7]",0.6,mixed_no
mixed_no_conf_f10_s500_p50,NN,PC,Scratch,35.94558923451143,1.0079586403897116,0.0280412329260684,5,5,1.1350190440268209,0.5801072404080982,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,PC,Asymmetric,30.099541309282735,1.0052786334684973,0.03339847020055645,5,5,1.1194920946270968,0.5745302212573761,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,PC,Causal,26.159279595464422,0.9986481411862369,0.03817567443101092,5,5,1.1335233744541857,0.5798891396232801,1,1,"[0, 3, 5, 7, 9]",[3],1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,PC,Flow,7.116667243076088,1.228428928305128,0.17261295018399025,4,5,0.0,0.0,0,1,"[0, 3, 5, 7, 9]",[3],0.8,mixed_no
mixed_no_conf_f10_s500_p50,NN,LINGAM,Scratch,35.94558923451143,1.0079586403897116,0.0280412329260684,5,5,1.4021045608015137,0.6722288188875436,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,LINGAM,Asymmetric,33.81763517434888,1.006772098799206,0.029770623924728356,5,5,1.401570036021644,0.672391180498403,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,LINGAM,Causal,24.057589752133218,1.0079040678032447,0.04189547158247108,5,5,1.3823752727955863,0.6740597092764831,2,2,"[0, 3, 5, 7, 9]","[3, 7]",1.0,mixed_no
mixed_no_conf_f10_s500_p50,NN,LINGAM,Flow,999.0,0.41195734739298306,0.0,3,5,100.24283005981029,0.9903743581911388,2,2,"[0, 3, 5, 7, 9]","[3, 7]",0.6,mixed_no
mixed_conf_f10_s500_p50,LGBM,PC,Scratch,14.035653188980213,0.5682092180220714,0.04048327572443785,5,5,0.0,0.0,0,0,"[0, 1, 6, 8, 9]",[],1.0,mixed_conf
